"_id","emotion","id","negative_prob","positive_prob"
"6039c312c249000095007b22","-1","DzIBEpf1T","0.997243","0.00275745"
"6039c312c249000095007b23","1","z8trcbQ5f","0.243856","0.756144"
"6039c312c249000095007b24","1","J5eHDvrib","0.000600573","0.999399"
"6039c312c249000095007b25","1","DqFTc1cMg","0.274653","0.725347"
"6039c312c249000095007b26","-1","CocPaArSh","0.987229","0.0127707"
"6039c312c249000095007b27","-1","CvKZe1iqn","0.99998","1.98727e-05"
"6039c312c249000095007b28","1","DhVT8edZZ","0.334925","0.665075"
"6039c312c249000095007b29","-1","ytlZ5zJl1","0.854879","0.145121"
"6039c312c249000095007b2a","-1","CiBjtyYiX","0.701731","0.298269"
"6039c312c249000095007b2b","1","yrGv6rYEL","0.0141607","0.985839"
"6039c312c249000095007b2c","-1","zdyhZdhdM","0.996763","0.00323675"
"6039c312c249000095007b2d","-1","zcm3bnudh","0.998188","0.00181227"
"6039c312c249000095007b2e","-1","CiV08s8ag","0.996735","0.00326526"
"6039c312c249000095007b2f","1","BwZJU8H0Q","0.0291037","0.970896"
"6039c312c249000095007b30","-1","zqxwZBz8A","0.608516","0.391484"
"6039c312c249000095007b31","-1","zt4u4s8zd","0.837228","0.162772"
"6039c312c249000095007b32","1","BgKuf9x8Q","0.138479","0.861521"
"6039c312c249000095007b33","-1","A0lxZFno8","0.561515","0.438485"
"6039c312c249000095007b34","-1","zbRfveWWc","0.880613","0.119387"
"6039c312c249000095007b35","-1","zmCI9Eh5l","0.98516","0.0148395"
"6039c312c249000095007b36","-1","BlR4h4FwO","0.988893","0.0111067"
"6039c312c249000095007b37","-1","HsWhJqTPM","0.959665","0.0403347"
"6039c312c249000095007b38","0","CcdYHgrBN","0.495813","0.504187"
"6039c312c249000095007b39","1","CnPGjahPy","0.249518","0.750482"
"6039c312c249000095007b3a","-1","AAQaqkm22","0.991833","0.00816704"
"6039c312c249000095007b3b","1","Fd04Wd2EV","0.0305194","0.969481"
"6039c312c249000095007b3c","-1","zmnAloZ2i","0.999053","0.000946545"
"6039c312c249000095007b3d","-1","FfGLG08Xo","0.993292","0.00670824"
"6039c312c249000095007b3e","-1","ABQSPE1sv","0.965891","0.0341086"
"6039c312c249000095007b3f","-1","BFm7WoQVS","0.979407","0.0205927"
"6039c312c249000095007b40","-1","IcfwD3qND","0.998383","0.00161714"
"6039c312c249000095007b41","-1","FdOkcqLlM","0.992529","0.00747084"
"6039c312c249000095007b42","1","CaGwR1AeN","0.122303","0.877697"
"6039c312c249000095007b43","-1","AzH3saaH6","0.997549","0.00245134"
"6039c312c249000095007b44","1","HA7QDtFct","0.0979837","0.902016"
"6039c312c249000095007b45","-1","zA9YBtOvS","0.638845","0.361155"
"6039c312c249000095007b46","-1","A3svVAj1f","0.987461","0.0125391"
"6039c312c249000095007b47","1","DyJ5o3TGW","0.0595115","0.940489"
"6039c312c249000095007b48","1","Hkqr2dvJQ","0.386469","0.613531"
"6039c312c249000095007b49","0","B6SCZC91s","0.537746","0.462254"
"6039c312c249000095007b4a","-1","z9rhyvoD0","0.999774","0.000226403"
"6039c312c249000095007b4b","1","zo0G9CAN6","0.209095","0.790905"
"6039c312c249000095007b4c","1","zt2Zuf4rS","0.196045","0.803955"
"6039c312c249000095007b4d","-1","zu5pn3Vkr","0.964154","0.0358457"
"6039c312c249000095007b4e","-1","AByOt7vkY","0.996127","0.00387319"
"6039c312c249000095007b4f","0","Bpz7GwIis","0.523295","0.476705"
"6039c312c249000095007b50","-1","DlgQSu0va","0.994092","0.00590848"
"6039c312c249000095007b51","-1","B7geOpZQT","0.871276","0.128724"
"6039c312c249000095007b52","-1","yBopXqFeq","0.747611","0.252389"
"6039c312c249000095007b53","-1","zCiHn1orq","0.869187","0.130813"
"6039c312c249000095007b54","1","CxYLD4a3E","0.0356327","0.964367"
"6039c312c249000095007b55","1","zD4yT6c93","0.0295657","0.970434"
"6039c312c249000095007b56","-1","BmxTnCMDh","0.999823","0.000177058"
"6039c312c249000095007b57","1","BtaRZBGib","0.127918","0.872082"
"6039c312c249000095007b58","1","DsEjXeOyV","0.0773462","0.922654"
"6039c312c249000095007b59","-1","yABeCmxhK","0.832085","0.167915"
"6039c312c249000095007b5a","1","B8N5PbMZk","0.294433","0.705567"
"6039c312c249000095007b5b","1","Cfxnbuw5T","0.112802","0.887198"
"6039c312c249000095007b5c","1","zAa2zB9rs","0.323388","0.676612"
"6039c312c249000095007b5d","-1","zvpV85XAa","0.999688","0.000312279"
"6039c312c249000095007b5e","1","CdBe4z1X9","0.202195","0.797805"
"6039c312c249000095007b5f","1","CkvqyxLtr","0.0871029","0.912897"
"6039c312c249000095007b60","-1","J4Iyg1sPT","0.999951","4.88801e-05"
"6039c312c249000095007b61","-1","ysYCoBsL0","0.922208","0.0777917"
"6039c312c249000095007b62","0","Ch0pBFn5R","0.507961","0.492039"
"6039c312c249000095007b63","-1","Cl1gs6HNT","0.576143","0.423857"
"6039c312c249000095007b64","-1","H2xurB35n","0.999995","4.68991e-06"
"6039c312c249000095007b65","-1","yt0lH2w8N","0.984931","0.0150689"
"6039c312c249000095007b66","-1","DlWAqtmuE","0.565249","0.434751"
"6039c312c249000095007b67","1","CtZAG2nIk","0.000996766","0.999003"
"6039c312c249000095007b68","-1","FhzZz6aUN","0.999707","0.000293082"
"6039c312c249000095007b69","-1","zn4kTpIqx","0.999928","7.20025e-05"
"6039c312c249000095007b6a","-1","yw29Uuoqk","0.994758","0.00524211"
"6039c312c249000095007b6b","-1","BE9BbuQLt","0.999027","0.000973351"
"6039c312c249000095007b6c","1","CnDOEtIgl","0.193364","0.806636"
"6039c312c249000095007b6d","-1","CwwRHcB8S","0.990856","0.00914352"
"6039c312c249000095007b6e","1","Compsn3BU","0.076601","0.923399"
"6039c312c249000095007b6f","-1","CvFJJ50RG","0.999894","0.000105538"
"6039c312c249000095007b70","-1","znzP4as6Y","0.569673","0.430327"
"6039c312c249000095007b71","-1","zoaZbdqH0","0.999857","0.000143082"
"6039c312c249000095007b72","-1","CfXtOag3o","0.79178","0.20822"
"6039c312c249000095007b73","1","zsZAJwhiG","0.000580568","0.999419"
"6039c312c249000095007b74","-1","CvKCCtVni","0.999508","0.000492118"
"6039c312c249000095007b75","-1","BmGcDh1sL","0.999133","0.000866784"
"6039c312c249000095007b76","1","C9Jy7eGGj","0.278545","0.721455"
"6039c312c249000095007b77","0","zt156sgeD","0.503193","0.496807"
"6039c312c249000095007b78","-1","F9jMKc3mi","0.999862","0.000137899"
"6039c312c249000095007b79","1","BgQwt8VKL","0.228187","0.771813"
"6039c312c249000095007b7a","-1","Bn9jHjdc9","0.995404","0.00459571"
"6039c312c249000095007b7b","-1","DvtFIxjRm","0.979685","0.0203151"
"6039c312c249000095007b7c","-1","CajQrD4Fr","0.854524","0.145476"
"6039c312c249000095007b7d","1","zmBSJB3fN","0.0597163","0.940284"
"6039c312c249000095007b7e","-1","zmN6k5XuX","0.997635","0.00236536"
"6039c312c249000095007b7f","1","ABqpxgaAN","0.0118232","0.988177"
"6039c312c249000095007b80","-1","AmCfb6FnL","0.97716","0.0228396"
"6039c312c249000095007b81","-1","Bj8lddpaA","0.991751","0.00824875"
"6039c312c249000095007b82","-1","B6Pu65LYl","0.999976","2.37887e-05"
"6039c312c249000095007b83","1","Ca1cXnFCe","0.136115","0.863885"
"6039c312c249000095007b84","1","C3Yr377AO","0.104943","0.895057"
"6039c312c249000095007b85","1","DwKFfhSDS","0.184804","0.815196"
"6039c312c249000095007b86","-1","Cipm0rQyL","0.744727","0.255273"
"6039c312c249000095007b87","1","Cl5E3CjlE","0.0037476","0.996252"
"6039c312c249000095007b88","-1","DmFiZrMrV","0.999771","0.000229262"
"6039c312c249000095007b89","-1","z94o6mxlF","0.998948","0.00105205"
"6039c312c249000095007b8a","-1","G3oXUlBmA","0.975069","0.0249312"
"6039c312c249000095007b8b","1","CkQ6mcFjF","0.193765","0.806235"
"6039c312c249000095007b8c","1","CdZo5zc2m","0.121931","0.878069"
"6039c312c249000095007b8d","-1","DvroozmlE","0.993615","0.0063846"
"6039c312c249000095007b8e","-1","zqKJejaqX","0.604249","0.395751"
"6039c312c249000095007b8f","1","CkT80kSoA","0.17022","0.82978"
"6039c312c249000095007b90","1","CiUasqfc6","0.158851","0.841149"
"6039c312c249000095007b91","-1","zmYijg7cG","0.999874","0.000126168"
"6039c312c249000095007b92","-1","CxhPvd73q","0.999732","0.000267841"
"6039c312c249000095007b93","-1","Ee8Mjf5ct","0.999833","0.000166857"
"6039c312c249000095007b94","-1","yzFZ8CFIN","0.95196","0.0480404"
"6039c312c249000095007b95","-1","BnGq0k33A","0.998035","0.00196497"
"6039c312c249000095007b96","-1","Ba0MylfTx","0.983298","0.0167021"
"6039c312c249000095007b97","1","Bk1WRay7j","0.144054","0.855946"
"6039c312c249000095007b98","1","CngtOtdjn","0.103582","0.896418"
"6039c312c249000095007b99","1","zt4HSvvme","0.422368","0.577632"
"6039c312c249000095007b9a","-1","Exdn1su5v","0.993029","0.00697113"
"6039c312c249000095007b9b","-1","A3wrLwMCF","0.967503","0.032497"
"6039c312c249000095007b9c","1","B6Zc83Fi3","0.380171","0.619829"
"6039c312c249000095007b9d","-1","BELIe2CIq","0.99993","6.9542e-05"
"6039c312c249000095007b9e","-1","CpBzO4mWQ","0.999369","0.000631444"
"6039c312c249000095007b9f","-1","EAEDGFJyF","0.961958","0.0380419"
"6039c312c249000095007ba0","0","CetUPd2Dw","0.528605","0.471396"
"6039c312c249000095007ba1","1","BeqoIzI8p","0.0459499","0.95405"
