"_id","comment_num","content","crawl_time","created_at","image_url","like_num","origin_weibo","repost_num","user_id","video_url","weibo_url"
"InzJsiQ1k","43","#毽客视线#一位河南省政府官员，在高速公路付费通道时拿错了银行卡，刷卡后当即被爆露卡上的巨大余额，一个星期后就被双规！😂 这时你就该知道官员财产申报和公示为什么提出来这么多年却迟迟没有下文 ，因为不但干净的人太少了，而且一个赛一个能贪，真要通过了那不是革自己的命吗？按说抓了那么多老虎，应该收敛一点才是，怎么还是层出不穷[抓狂]为什么…… 毽客逆风飞扬的微博视频","1609906442","2020-01-02 07:35:18    ",,"53",,"13","1202586970","[ ""https://m.weibo.cn/s/video/show?object_id=1034:4456188994322456&fromWap=1"" ]","https://weibo.com/1202586970/InzJsiQ1k"
"InFnuqpW4","0","哦哟 所有人年底了，问好的各种各样的链接，请不要点击，更不要转发！！！  国家安全部      提醒：       从近日起，大家注意了，请不要再传早安，晚安或节庆之类的视频，及图片，在上海，已有很多人报案，美国、日本、韩国、菲律宾等国家的反华势力组织的网络军团，利用黑客设计精美图片，视频暗藏钓鱼程序，发到网上叫大家转，以此窃取个人信息和资料       电视台己连播5集，受害人大约20万人。 再度提醒大家：一定要把所有早，晚及年节问安精美图案，视频全部清理干净 大家彼此之间问好的唯一方式：自己打字制作来完成！不要下载或转发其他地方和个人链接，更不能在自己的微信群里乱发。从今天起，请大家保护好我们个人信息安全。望大家遵照执行。谢谢配合。并转发下去，别留死角。","1609906443","2020-01-02 21:57:40    ",,"0",,"0","5150457067",,"https://weibo.com/5150457067/InFnuqpW4"
"IocdREafF","14","【原来是恐怖分子😱 】被美军斩首的波斯“军神”苏莱曼尼，居然是国际公认的恐怖分子，位列联合国安理会第1747号决议名单中。2007年3月24日第5647次会议通过，当时中俄都投了赞成票。所以，恐怖分子，人人得以诛之。","1609906444","2020-01-06 09:34:35    ",,"109",,"35","6677101977",,"https://weibo.com/6677101977/IocdREafF"
"Io7AU2ycs","10","震惊全国！速看！我们吃的包菜竟然是这样做的[doge] 猫耳视频的微博视频","1609906445","2020-01-05 21:47:37    ",,"93",,"20","6587005050","[ ""https://m.weibo.cn/s/video/show?object_id=1034:4456706411790409&fromWap=1"" ]","https://weibo.com/6587005050/Io7AU2ycs"
"ImK6c8cSz","26","当年汶川地震中被兵哥哥救出的12岁女孩，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！","1609906446","2019-12-27 20:08:29    ","http://wx2.sinaimg.cn/wap180/a9e79866ly1ga2tems38vj20qo0h740p.jpg","37",,"1","6361903024",,"https://weibo.com/6361903024/ImK6c8cSz"
"Io3ARb8iR","34","当年汶川地震中被兵哥哥救出的12岁女孩时，紧紧抱住19岁的兵哥哥，允诺兵哥哥10年后嫁给他，但谁也没当真。而兵哥哥时常会寄一些钱或物品给她读书。 十年过去了，这位救他的兵哥哥也退役了。小女孩发短信:“十年了，你该来娶我回家了”!这位兵哥哥深受震撼，最终他俩步入了婚姻的殿堂，已经有了两个小孩。 满满的感动!你救我性命，我陪你余生!祝福你们。#婚姻##婚礼#","1609906447","2020-01-05 11:36:31    ","http://wx4.sinaimg.cn/wap180/00696XNxgy1galhqevsrrj30qy0e8751.jpg","183",,"7","5631443851",,"https://weibo.com/5631443851/Io3ARb8iR"
"IncktfXmK","102","当年汶川地震当中被兵哥哥救出的12岁女孩，从废墟下救出的时候，小女孩紧紧抱住19岁兵哥哥，兵哥哥静静的安抚她，直到后来女孩慢慢的停止哭泣，并且还像电影情节一样允诺兵哥哥10年后嫁给他，但是当时谁也没当真。之后小女孩把兵哥哥作为她学习的动力，在接下来这几年中，他们两个人都会用手机互相联系，然而兵哥哥还偶尔寄一些钱或者是物品给她读书，就这样十年过去了，这位兵哥哥也退役了。当这位女孩得知兵哥哥还是单身的时候，就发出了短信：“十年了，你该来娶我回家了！”这名兵哥哥深受震撼，但是他们的感情也从这时候拉开了序幕！最终他们真的步入了婚姻的殿堂，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！","1609906448","2019-12-30 20:00:34    ","http://wx3.sinaimg.cn/wap180/6dc34cc9ly1gaf016q80uj20j60dfgmg.jpg","699",,"105","1841515721",,"https://weibo.com/1841515721/IncktfXmK"
"IonB45Xs2","234","#雪乡车祸4死5伤案司机获死缓#突发，雪乡车祸4死5伤，马上过年了，注意安全             [组图共11张]","1609906448","2020-01-07 14:31:58    ","http://wx4.sinaimg.cn/wap180/4e1bb055gy1ganzfsef1ej21120kunpf.jpg","1572",,"21","1310437461",,"https://weibo.com/1310437461/IonB45Xs2"
"IofEGwaKE","975","#随手拍# 澳大利亚的山火，仿佛世界末日……","1609906450","2020-01-06 18:18:55    ","http://wx3.sinaimg.cn/wap180/a86c0e87ly1gan0ffsz8lj20p00p0tc4.jpg","6050",,"345","2825653895",,"https://weibo.com/2825653895/IofEGwaKE"
"IofwIrUtu","14","澳洲的大火带走了无数动物的生命，[心]小女孩在撤离城镇的时候，[赞]从家附近的树林里救出了一只树袋熊🐨。","1609906452","2020-01-06 17:59:16    ","http://wx3.sinaimg.cn/wap180/668c33dely1gamzv4x1uij20ku0ogdls.jpg","671",,"27","1720464350",,"https://weibo.com/1720464350/IofwIrUtu"
